#Position (bp)	insert size
1.894803885E8	205.07577275880675
1.90149192E8	265.3334737729092
1.906595515E8	265.9535934291581
1.91312477E8	270.5891458411041
1.918228365E8	301.385109114249
1.92405532E8	251.3711939787889
1.92970815E8	264.4183266932271
1.934811745E8	259.9671052631579
1.941148915E8	273.689400921659
1.94625251E8	257.9267935578331
1.95223345E8	268.914451516286
1.957337045E8	272.55276668568166
1.961788765E8	277.7368421052632
1.96689236E8	278.8961776859504
1.97131581E8	285.5270367700072
1.97615106E8	247.57639751552796
1.97992652E8	261.1335504885993
1.98305792E8	210.99549945115257
1.988161515E8	283.5712187958884
1.991212075E8	276.3172338090011
1.994436275E8	272.8195891634415
1.99872985E8	260.868320610687
2.000851115E8	264.64497041420117
2.00263134E8	291.44153005464483
2.005261155E8	294.09767718880283
2.00738718E8	276.6953966699314
2.00938567E8	292.75281270681666
2.010583015E8	290.47859922178986
2.0114868E8	284.4924578527063
2.01286268E8	250.54975530179445
2.01415191E8	311.5410872313527
2.015211975E8	283.3321256038647
2.01614299E8	315.10869565217394
2.01703287E8	278.72093023255815
2.017861025E8	319.1181818181818
2.018642115E8	244.6451612903226
2.019370895E8	288.6666666666667
2.020049135E8	319.48265895953756
2.020668635E8	248.296
2.020987075E8	234.94736842105263
2.021249785E8	275.1666666666667
2.021737895E8	316.46902654867256
2.022239985E8	320.1111111111111
2.02271757E8	262.8664596273292
2.023186845E8	247.30769230769232
2.02364446E8	220.25806451612902
2.024089195E8	292.5871886120996
2.02452443E8	308.1818181818182
2.02494437E8	326.2028985507246
2.02534017E8	299.94117647058823
2.025722765E8	299.1551724137931
2.026094615E8	341.4594594594595
2.026450565E8	254.8625
2.02679708E8	212.33333333333334
2.02712767E8	277.64285714285717
2.02743079E8	300.3020833333333
2.02771272E8	315.6231884057971
2.027983955E8	267.30357142857144
2.02824104E8	336.3
2.028484075E8	351.1
2.028692335E8	70.25
2.028819085E8	266.140350877193
2.03004407E8	258.55044699872286
2.03633441E8	259.88481751824816
2.0465416E8	268.2951598173516
2.05674879E8	270.08805943105637
2.06695598E8	268.6906323799528
2.07716317E8	267.26270151441133
2.08737036E8	261.7257423672104
2.09757755E8	268.3207282913165
2.10778474E8	274.66526285216383
2.11799193E8	270.24855706572333
2.12819912E8	253.5695663073452
2.13840631E8	276.8253433532003
2.1486135E8	276.85927235977766
2.15882069E8	269.51559692960967
2.16902788E8	284.8495350803043
2.17923507E8	284.8979591836735
2.18944226E8	263.92114285714285
2.19487071E8	287.0684039087948
2.199974305E8	262.4334302325581
