"","baseMean","log2FoldChange","lfcSE","pvalue","padj","query"
"Pocillopora_acuta_HIv2___RNAseq.g21842.t1",568.044443915798,0.856287515669757,1.60739004826631,0.00261375330920449,0.0134586428851313,"Pocillopora_acuta_HIv2___RNAseq.g21842.t1"
"Pocillopora_acuta_HIv2___RNAseq.g19852.t1",300.393063401316,-0.28380510975711,1.0612182541204,0.00262664333968564,0.0135202025854851,"Pocillopora_acuta_HIv2___RNAseq.g19852.t1"
"Pocillopora_acuta_HIv2___RNAseq.g12753.t1",639.764724524185,0.865540774993006,1.46465728789724,0.00263808839535588,0.0135742833690599,"Pocillopora_acuta_HIv2___RNAseq.g12753.t1"
"Pocillopora_acuta_HIv2___RNAseq.g14116.t1",241.818896500342,-0.28827586283344,1.02870683781599,0.0026496018832164,0.0136275577499665,"Pocillopora_acuta_HIv2___RNAseq.g14116.t1"
"Pocillopora_acuta_HIv2___RNAseq.g12566.t1",195.342167222802,-0.462957393587007,1.09978681961796,0.00265184652801032,0.0136275577499665,"Pocillopora_acuta_HIv2___RNAseq.g12566.t1"
"Pocillopora_acuta_HIv2___RNAseq.g12141.t1",108.383678184365,-0.337693101658327,1.08006837160147,0.00265214145332867,0.0136275577499665,"Pocillopora_acuta_HIv2___RNAseq.g12141.t1"
"Pocillopora_acuta_HIv2___RNAseq.16206_t",420.273082152988,0.424550329508594,1.14325296131999,0.00265297442392613,0.0136275577499665,"Pocillopora_acuta_HIv2___RNAseq.16206_t"
"Pocillopora_acuta_HIv2___RNAseq.26564_t",6653.23248307922,-2.17380195066002,2.39549014334398,0.00265315283627666,0.0136275577499665,"Pocillopora_acuta_HIv2___RNAseq.26564_t"
"Pocillopora_acuta_HIv2___RNAseq.g3523.t1",2327.91634013368,1.87966823216358,1.57985063229323,0.00265627376831652,0.0136387446875861,"Pocillopora_acuta_HIv2___RNAseq.g3523.t1"
"Pocillopora_acuta_HIv2___RNAseq.g22403.t1",175.239649845586,-0.353999717638101,1.08182953955464,0.00266038124422217,0.0136549873372709,"Pocillopora_acuta_HIv2___RNAseq.g22403.t1"
"Pocillopora_acuta_HIv2___RNAseq.g17049.t1",470.877848128851,-0.538811682016197,1.1343475742637,0.00266401915219229,0.0136668886717277,"Pocillopora_acuta_HIv2___RNAseq.g17049.t1"
"Pocillopora_acuta_HIv2___TS.g27338.t1",112.531857738639,-0.247074773116351,1.05039305610518,0.00266458974379648,0.0136668886717277,"Pocillopora_acuta_HIv2___TS.g27338.t1"
"Pocillopora_acuta_HIv2___RNAseq.g12741.t1",360.225143361367,-0.248394743124578,1.04629828076805,0.00266682188790604,0.0136734887581258,"Pocillopora_acuta_HIv2___RNAseq.g12741.t1"
"Pocillopora_acuta_HIv2___RNAseq.g31072.t1",2299.43986787222,-0.750818900906513,1.31751455983728,0.00267625370075565,0.0137169856583025,"Pocillopora_acuta_HIv2___RNAseq.g31072.t1"
"Pocillopora_acuta_HIv2___RNAseq.g30027.t1",1878.08236006063,2.18543721835924,2.18731521896636,0.00268279455893538,0.013745639567992,"Pocillopora_acuta_HIv2___RNAseq.g30027.t1"
"Pocillopora_acuta_HIv2___RNAseq.g19642.t1",89.0995463604723,-0.528282495516353,1.20456785462703,0.00269099797957442,0.0137827885186135,"Pocillopora_acuta_HIv2___RNAseq.g19642.t1"
