"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","List","Standardized_Name_spA"
"209","Pocillopora_acuta_HIv2___TS.g23497.t1a",25794.4533181781,0.245705877604815,0.475156635405063,0.552460165768125,0.76817918712919,"digestive_filaments","digestive_filaments"
"210","Pocillopora_acuta_HIv2___RNAseq.g22606.t2",2380.8531551476,0.274626064926371,0.593201988832422,0.554879078097326,0.769710461839429,"epidermis_1","epidermis"
"211","Pocillopora_acuta_HIv2___RNAseq.g13686.t1",393.776873288829,0.0986518681183956,0.986408034261826,0.555530885995806,0.770097636097694,"neuron_1","neuron"
"212","Pocillopora_acuta_HIv2___RNAseq.g19195.t1",28103.1552421423,0.244673650669798,0.500452333677188,0.574858850964319,0.784337177657571,"germline_sperm","germline"
"213","Pocillopora_acuta_HIv2___TS.g17020.t1",23.0514813907406,-0.242193250109407,0.754207980796888,0.603399137990676,0.802903875979497,"digestive_filaments","digestive_filaments"
"214","Pocillopora_acuta_HIv2___RNAseq.g1813.t1",321.215769180008,-0.142703947878504,0.919057147961141,0.60434915622924,0.803576594566991,"gastrodermis","gastrodermis"
"215","Pocillopora_acuta_HIv2___TS.g11444.t1",380.066355652078,0.0867313392987584,0.986621548890197,0.60651516995524,0.804648462636036,"cnidocyte","cnidocyte"
"216","Pocillopora_acuta_HIv2___RNAseq.g5297.t1",12077.7064941536,0.215063794816589,0.483366985039019,0.608045346656792,0.805590556064689,"mitotic_host_cells","gastrodermis_symbiont_containing"
"217","Pocillopora_acuta_HIv2___RNAseq.g5297.t1",12077.7064941536,0.215063794816589,0.483366985039019,0.608045346656792,0.805590556064689,"germline_sperm","germline"
"218","Pocillopora_acuta_HIv2___RNAseq.g28145.t1",1856.70246588591,0.168096185195438,0.922718914140054,0.650409766686954,0.833261901271931,"neuron_14","neuron"
"219","Pocillopora_acuta_HIv2___RNAseq.g2016.t1",210.236340613576,-0.110029081231372,0.944971987341803,0.659459589736059,0.839354409181833,"neuron_10","neuron"
"220","Pocillopora_acuta_HIv2___RNAseq.g15414.t1",1595.39036423117,-0.155031123673927,0.87220289416559,0.686367917425073,0.855173908941474,"neuron_4","neuron"
"221","Pocillopora_acuta_HIv2___TS.g13511.t1",117.215829185933,-0.0757069705141566,0.954184188606623,0.691431186256592,0.858737822257887,"gland_7","gland"
"222","Pocillopora_acuta_HIv2___RNAseq.g9214.t1",307.387547517436,0.154563517550389,0.806909825594376,0.705485142774173,0.865711131338393,"gastrodermis","gastrodermis"
"223","Pocillopora_acuta_HIv2___RNAseq.g22424.t1",426.352829346728,-0.127090761036453,0.887254210283905,0.728326005120683,0.878575930277113,"mitotic_host_cells","gastrodermis_symbiont_containing"
"224","Pocillopora_acuta_HIv2___RNAseq.g6442.t1",2576.07643511386,-0.154635095381895,0.687372988278594,0.734574215087245,0.882623362471777,"digestive_filaments","digestive_filaments"
"225","Pocillopora_acuta_HIv2___RNAseq.g26846.t1c",1731.42840634531,0.142964690310051,0.739336894495372,0.754335379751548,0.892108962227598,"immune_1","immune"
"226","Pocillopora_acuta_HIv2___TS.g17927.t1",48.9700577310943,0.149636414682502,0.987390899863996,0.800254676210724,0.915912130464864,"gastrodermis","gastrodermis"
"227","Pocillopora_acuta_HIv2___RNAseq.g17515.t1",377.376603997599,-0.0787122943461673,0.822807241882855,0.814949702262738,0.922839778715122,"gastrodermis","gastrodermis"
"228","Pocillopora_acuta_HIv2___RNAseq.g3654.t1",1997.19120269303,-0.0813633523420927,0.702771101052563,0.849053203977777,0.940310365618571,"neuron_9","neuron"
"229","Pocillopora_acuta_HIv2___TS.g30180.t1",915.151932497043,-0.0490493974712137,0.894996028091714,0.85519596460823,0.943206219980216,"immune_1","immune"
"230","Pocillopora_acuta_HIv2___RNAseq.g4500.t1",2254.11469816084,-0.0721105061351586,0.551971054833982,0.860651088445899,0.945428521552478,"digestive_filaments","digestive_filaments"
"231","Pocillopora_acuta_HIv2___RNAseq.g6251.t1",1144.24694807485,0.0650968001314448,0.846055754983787,0.877264744644859,0.952609404395138,"neuron_1","neuron"
"232","Pocillopora_acuta_HIv2___TS.g25526.t1",1259.80798158552,-0.0516923287346524,0.641311966884563,0.893279132687565,0.959341741375876,"mitotic_host_cells","gastrodermis_symbiont_containing"
"233","Pocillopora_acuta_HIv2___RNAseq.g4855.t1",46.254106234714,0.00699990698012108,0.969342593897738,0.938094455885892,0.976720285771203,"alga-hosting_cells","gastrodermis_symbiont_containing"
"234","Pocillopora_acuta_HIv2___RNAseq.g22851.t1",46744.2010732134,-0.0269879093519422,0.499546731655937,0.942968235232818,0.978923542995563,"epidermis_1","epidermis"
"235","Pocillopora_acuta_HIv2___RNAseq.g5300.t1",161.80979947133,0.0137119294057127,0.556072506372474,0.983647937407123,0.994094729363934,"mitotic_host_cells","gastrodermis_symbiont_containing"
"236","Pocillopora_acuta_HIv2___RNAseq.g5300.t1",161.80979947133,0.0137119294057127,0.556072506372474,0.983647937407123,0.994094729363934,"germline_sperm","germline"
"237","Pocillopora_acuta_HIv2___RNAseq.g29112.t1",113.124085890335,0.0432668715310928,0.982497539458485,0.987073529465139,0.995556961721172,"gastrodermis","gastrodermis"
"238","Pocillopora_acuta_HIv2___RNAseq.g16502.t1",732.060140271573,0.0083515819646492,0.894945638240796,0.998204516418336,0.99953312145013,"immune_2","immune"
