Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
LCM_24_fbtrim_1	LCM_24_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	181375613.0	25.9 Gbp	0.0	40-151	26.0	18.924238688202152	143.09314106081064	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
LCM_24_fbtrim_2	LCM_24_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	181375613.0	26 Gbp	0.0	40-151	26.0	18.485783313572853	143.42752026425956	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	warn
LCM_25_fbtrim_1	LCM_25_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	161708455.0	23.2 Gbp	0.0	40-151	30.0	16.679541813534414	143.47623029977004	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
LCM_25_fbtrim_2	LCM_25_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	161708455.0	23.2 Gbp	0.0	40-151	30.0	17.04842813439275	143.89063380142986	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
LCM_32_fbtrim_1	LCM_32_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	203718819.0	30.1 Gbp	0.0	40-151	38.0	13.065190998957213	147.79958587920146	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
LCM_32_fbtrim_2	LCM_32_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	203718819.0	30.1 Gbp	0.0	40-151	38.0	14.821980431091458	147.92149147497267	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
LCM_33_fbtrim_1	LCM_33_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167290105.0	24.5 Gbp	0.0	40-151	42.0	12.305589269728763	146.91633050263195	pass	pass	warn	pass	pass	warn	pass	warn	fail	warn	pass
LCM_33_fbtrim_2	LCM_33_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167290105.0	24.6 Gbp	0.0	40-151	42.0	14.858655289695132	147.09159752754056	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
LCM_3_fbtrim_1	LCM_3_fbtrim_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125920178.0	18 Gbp	0.0	40-151	36.0	15.29194279841196	143.08408769085443	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
LCM_3_fbtrim_2	LCM_3_fbtrim_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125920178.0	18 Gbp	0.0	40-151	36.0	15.968026245816425	143.5353020625495	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
