gene_id,LCM_15,LCM_16,LCM_20,LCM_21,LCM_26,LCM_27,LCM_4,LCM_5,LCM_8,LCM_9
Pocillopora_acuta_HIv2___RNAseq.g27782.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10545.t1,0,0,0,0,0,0,0,16,0,0
Pocillopora_acuta_HIv2___TS.g10546.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27783.t1,1222,9,680,1813,1458,284,502,1520,206,0
Pocillopora_acuta_HIv2___RNAseq.g27784.t1,790,557,644,48,967,1011,760,1226,423,0
Pocillopora_acuta_HIv2___RNAseq.g27785.t1,68,0,733,244,145,13,0,622,0,0
Pocillopora_acuta_HIv2___TS.g10551.t2,1417,501,649,2053,939,986,992,2108,1279,109
Pocillopora_acuta_HIv2___RNAseq.g27788.t1,178,91,15,27,123,0,104,67,59,145
Pocillopora_acuta_HIv2___TS.g10554.t3,1048,392,196,776,57,0,0,335,0,0
Pocillopora_acuta_HIv2___RNAseq.g27793.t1,1728,523,52,0,625,23,100,487,628,0
Pocillopora_acuta_HIv2___RNAseq.g27794.t1a,0,0,0,0,64,0,0,0,0,112
Pocillopora_acuta_HIv2___RNAseq.g27794.t1b,137,65,0,554,136,25,473,347,26,200
Pocillopora_acuta_HIv2___TS.g10560.t2,124,338,5,591,535,0,1018,59,0,0
Pocillopora_acuta_HIv2___RNAseq.g27796.t1,168,138,241,180,7,481,873,412,5,693
Pocillopora_acuta_HIv2___RNAseq.g27797.t1,478,0,1289,756,595,1194,0,655,145,0
Pocillopora_acuta_HIv2___RNAseq.403_t,0,0,135,0,0,0,0,47,0,0
Pocillopora_acuta_HIv2___RNAseq.g27798.t1,12,7,9,19,8,8,35,7,9,17
Pocillopora_acuta_HIv2___RNAseq.g27800.t1,155,0,467,74,609,692,0,752,0,0
Pocillopora_acuta_HIv2___RNAseq.g27801.t1,267,157,1318,0,49,0,0,312,0,315
Pocillopora_acuta_HIv2___RNAseq.g27806.t1,3,0,0,0,0,0,3,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27805.t1,428,0,0,0,374,0,0,636,0,0
Pocillopora_acuta_HIv2___TS.g10567.t1,3288,344,1246,127,3045,0,3,3605,3449,0
Pocillopora_acuta_HIv2___RNAseq.445_t,3730,3251,3553,4100,4279,2613,1100,3852,5070,1289
Pocillopora_acuta_HIv2___TS.g10606.t1,319,163,296,384,540,132,89,411,538,0
Pocillopora_acuta_HIv2___RNAseq.g27841.t1,1081,0,1790,849,1312,2055,0,1871,0,438
Pocillopora_acuta_HIv2___TS.g10608.t2,222,941,326,0,992,1028,0,977,0,603
Pocillopora_acuta_HIv2___RNAseq.g27844.t1,88,0,0,404,362,0,595,348,0,0
Pocillopora_acuta_HIv2___RNAseq.448_t,483,0,1027,0,223,813,854,612,167,0
Pocillopora_acuta_HIv2___RNAseq.g27846.t1,315,0,19,0,244,0,182,306,81,8
Pocillopora_acuta_HIv2___RNAseq.g27847.t2,281,37,428,0,566,37,0,540,29,0
Pocillopora_acuta_HIv2___RNAseq.g27848.t1,531,157,49,359,612,234,315,227,154,2
Pocillopora_acuta_HIv2___RNAseq.g27850.t1,1344,0,36,0,266,329,0,686,0,0
Pocillopora_acuta_HIv2___RNAseq.g27852.t1,211,322,16,0,253,0,335,277,0,0
Pocillopora_acuta_HIv2___RNAseq.g27853.t1,953,1155,2032,1023,2595,1328,512,2855,1428,54
Pocillopora_acuta_HIv2___TS.g10619.t1,1056,16,489,0,1155,599,1602,257,261,0
Pocillopora_acuta_HIv2___TS.g10620.t1,786,0,811,1249,587,739,0,1140,266,0
Pocillopora_acuta_HIv2___RNAseq.g27856.t2,34,73,0,125,14,0,206,1223,18,0
Pocillopora_acuta_HIv2___TS.g10628.t2,0,27,0,0,35,40,323,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27861.t1,2677,1446,2025,757,2726,361,1564,1736,1123,627
Pocillopora_acuta_HIv2___TS.g10626.t1,304,144,622,1101,1472,1938,0,678,0,2205
Pocillopora_acuta_HIv2___TS.g10629.t3,344,449,117,651,1527,1958,4015,1180,327,0
Pocillopora_acuta_HIv2___TS.g10630.t1,0,229,0,0,0,127,0,599,590,0
Pocillopora_acuta_HIv2___TS.g10631.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27873.t1,0,0,0,0,0,7,17,0,0,0
Pocillopora_acuta_HIv2___TS.g10636.t2,1983,680,1684,283,1173,474,1761,2677,396,489
Pocillopora_acuta_HIv2___RNAseq.g27880.t1,18,0,89,0,0,0,32,51,164,0
Pocillopora_acuta_HIv2___TS.g10638.t1,0,17,21,0,51,36,0,24,0,31
Pocillopora_acuta_HIv2___TS.g10637.t1,40,3,29,1,104,3,1,48,139,1
Pocillopora_acuta_HIv2___RNAseq.g27877.t1,60,135,38,395,198,814,3,487,0,0
Pocillopora_acuta_HIv2___TS.g10640.t1,117,29,199,8,194,70,35,85,546,111
Pocillopora_acuta_HIv2___RNAseq.g27881.t1,408,163,344,914,1114,241,1809,1082,206,0
Pocillopora_acuta_HIv2___RNAseq.g27882.t1,937,230,1496,78,909,77,362,1369,1581,1002
Pocillopora_acuta_HIv2___RNAseq.g27884.t1,758,280,62,204,304,516,174,1724,226,0
Pocillopora_acuta_HIv2___TS.g10646.t1,346,106,177,52,2881,1226,386,2325,603,11
Pocillopora_acuta_HIv2___RNAseq.g27907.t1,8,61,0,1,31,32,1,12,0,0
Pocillopora_acuta_HIv2___TS.g10648.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27887.t1,0,10,0,12,12,0,0,3,0,0
Pocillopora_acuta_HIv2___RNAseq.g27888.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27886.t1,822,445,328,330,743,1908,789,293,2315,61
Pocillopora_acuta_HIv2___TS.g10701.t3,92,743,1947,565,537,979,130,804,1927,0
Pocillopora_acuta_HIv2___RNAseq.541_t,86,740,256,80,872,143,1014,1435,2304,0
Pocillopora_acuta_HIv2___RNAseq.g27941.t1,417,63,589,0,558,0,0,337,0,257
Pocillopora_acuta_HIv2___RNAseq.g27942.t1,78,0,560,326,268,118,0,740,24,17
Pocillopora_acuta_HIv2___RNAseq.g27943.t1,868,0,225,482,598,427,0,310,93,0
Pocillopora_acuta_HIv2___RNAseq.g27944.t1,1936,174,915,760,1558,816,204,1249,1276,99
Pocillopora_acuta_HIv2___RNAseq.g27945.t1,278,1228,1860,0,1841,1017,25,1804,53,1417
Pocillopora_acuta_HIv2___TS.g10710.t2,1889,0,916,0,76,510,982,891,244,7
Pocillopora_acuta_HIv2___RNAseq.g27948.t1,1002,0,0,0,352,0,24,917,1037,0
Pocillopora_acuta_HIv2___RNAseq.g27949.t1,310,16,874,436,1609,670,12,1036,1594,1012
Pocillopora_acuta_HIv2___TS.g10724.t2a,164,1836,154,208,329,114,0,686,0,457
Pocillopora_acuta_HIv2___TS.g10724.t2b,0,0,0,0,20,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10724.t2c,888,606,762,0,1029,554,682,2682,301,0
Pocillopora_acuta_HIv2___RNAseq.g27961.t1,1058,514,3173,884,4098,420,390,3457,618,0
Pocillopora_acuta_HIv2___RNAseq.g27962.t1,272,0,915,0,3,0,0,458,0,0
Pocillopora_acuta_HIv2___TS.g10731.t1,15,0,0,0,0,279,0,19,0,0
Pocillopora_acuta_HIv2___RNAseq.g27964.t1,375,81,686,300,26,533,0,39,690,0
Pocillopora_acuta_HIv2___RNAseq.g27965.t1,8064,2063,8012,3819,7940,7512,3350,16327,8774,5344
Pocillopora_acuta_HIv2___RNAseq.g27966.t1,215,235,739,30,987,389,353,780,184,69
Pocillopora_acuta_HIv2___RNAseq.g27967.t1a,87,37,73,4,35,97,0,196,0,1
Pocillopora_acuta_HIv2___RNAseq.g27967.t1b,3595,2447,2221,1612,2992,1940,1363,1920,1420,4616
Pocillopora_acuta_HIv2___TS.g10733.t1,2665,1165,2119,439,3872,1332,333,5179,1570,121
Pocillopora_acuta_HIv2___RNAseq.g27972.t1,200,708,388,88,1121,715,1436,1152,242,0
Pocillopora_acuta_HIv2___RNAseq.g27973.t1,286,0,242,0,209,0,184,581,0,0
Pocillopora_acuta_HIv2___TS.g10739.t1,293,39,496,73,1125,0,0,1055,0,0
Pocillopora_acuta_HIv2___TS.g10740.t1,250,126,567,659,418,289,0,879,553,105
Pocillopora_acuta_HIv2___TS.g10734.t1,29776,19887,20342,12406,26826,16472,20566,22947,21920,10828
Pocillopora_acuta_HIv2___RNAseq.g27976.t1,1479,1062,599,929,2206,1772,73,1344,805,270
Pocillopora_acuta_HIv2___RNAseq.g27977.t1,8,0,477,0,1043,0,1405,703,17,0
Pocillopora_acuta_HIv2___RNAseq.g27978.t1,1502,0,1576,0,206,741,0,444,0,0
Pocillopora_acuta_HIv2___RNAseq.g27979.t1,170,0,470,0,0,0,0,1309,0,0
Pocillopora_acuta_HIv2___RNAseq.g27982.t1,0,0,72,0,291,0,0,0,0,144
Pocillopora_acuta_HIv2___RNAseq.g27980.t1,0,93,361,0,362,0,742,147,0,0
Pocillopora_acuta_HIv2___RNAseq.g27984.t1,0,0,0,0,320,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10759.t1,406,0,146,0,35,0,0,0,399,243
Pocillopora_acuta_HIv2___RNAseq.g28003.t1,0,0,0,0,0,0,0,2,1,0
Pocillopora_acuta_HIv2___RNAseq.g28004.t1,0,0,19,0,13,0,0,6,0,0
Pocillopora_acuta_HIv2___TS.g10773.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28005.t1a,19,1,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28005.t1b,71,49,30,21,55,66,0,52,107,89
Pocillopora_acuta_HIv2___RNAseq.g28012.t1,83,153,52,86,53,16,25,47,118,1
Pocillopora_acuta_HIv2___RNAseq.g28021.t1,345,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28025.t1,7,0,169,0,426,0,0,825,34,0
Pocillopora_acuta_HIv2___RNAseq.g28031.t2,55,32,50,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28032.t1,51,0,0,10,0,524,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10811.t1,487,0,1003,21,397,351,60,1397,242,0
Pocillopora_acuta_HIv2___RNAseq.g28038.t1,424,0,294,0,0,514,0,287,752,1751
Pocillopora_acuta_HIv2___RNAseq.g28039.t1,815,281,0,0,600,0,0,63,145,0
Pocillopora_acuta_HIv2___RNAseq.g28040.t1,131,0,37,324,92,0,0,119,0,1828
Pocillopora_acuta_HIv2___RNAseq.g28041.t1,575,273,626,51,349,0,42,539,152,0
Pocillopora_acuta_HIv2___TS.g10819.t1,152,269,398,0,660,31,228,408,11,0
Pocillopora_acuta_HIv2___RNAseq.g28047.t1,571,0,0,0,692,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28050.t1,103,103,0,77,84,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10824.t1,0,0,0,0,0,0,0,152,0,0
Pocillopora_acuta_HIv2___TS.g10825.t1,3275,6159,2584,9783,5175,16596,21164,11273,379,4165
Pocillopora_acuta_HIv2___RNAseq.g28053.t1,3,0,479,0,284,59,0,1752,0,3194
Pocillopora_acuta_HIv2___RNAseq.g28054.t1,1049,1494,2500,1481,1298,5264,4590,5080,1338,3681
Pocillopora_acuta_HIv2___RNAseq.g28055.t2a,0,0,31,0,208,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28056.t1,0,1,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10828.t1,401,632,6,798,118,2482,149,1516,1432,0
Pocillopora_acuta_HIv2___RNAseq.g28063.t1,0,0,194,0,210,0,0,121,0,0
