#OG_name	Spis_proteins.faa	Pacu_proteins.faa
OG_514	2	1
OG_515	5	1
OG_516	2	1
OG_517	4	1
OG_518	2	1
OG_519	2	1
OG_520	3	1
OG_521	2	1
OG_522	2	1
OG_523	2	1
OG_524	2	1
OG_525	2	1
OG_526	3	1
OG_527	2	1
OG_528	4	1
OG_529	2	1
OG_530	2	1
OG_531	4	1
OG_532	7	1
OG_533	2	1
OG_534	2	18
OG_535	3	1
OG_536	2	1
OG_537	2	1
OG_538	3	1
OG_539	2	1
OG_540	2	1
OG_541	3	1
OG_542	2	1
OG_543	2	1
OG_544	3	2
OG_545	2	1
OG_546	5	1
OG_547	2	1
OG_548	2	1
OG_549	3	1
OG_550	2	1
OG_551	2	1
OG_552	3	1
OG_553	2	1
OG_554	2	1
OG_555	2	1
OG_556	3	1
OG_557	2	1
OG_558	2	1
OG_559	2	1
OG_560	2	1
OG_561	5	1
OG_562	2	1
OG_563	3	1
OG_564	4	1
OG_565	2	1
OG_566	2	1
OG_567	3	1
OG_568	2	1
OG_569	3	1
OG_570	2	1
OG_571	2	1
OG_572	3	1
OG_573	2	1
OG_574	26	63
OG_575	3	2
OG_576	12	10
OG_577	24	15
OG_578	7	6
OG_579	43	11
OG_580	8	2
OG_581	6	5
OG_582	4	4
OG_583	2	12
OG_584	8	18
OG_585	13	25
OG_586	13	51
OG_587	1	10
OG_588	16	2
OG_589	8	5
OG_590	11	1
OG_591	1	10
OG_592	1	31
OG_593	4	10
OG_594	19	2
OG_595	10	32
OG_596	5	2
OG_597	3	9
OG_598	1	11
OG_599	12	2
OG_600	2	1
OG_601	6	2
OG_602	1	3
OG_603	4	4
OG_604	1	7
OG_605	2	2
OG_606	1	3
OG_607	1	5
OG_608	1	2
OG_609	2	2
OG_610	1	24
OG_611	3	1
OG_612	2	1
OG_613	2	1
OG_614	2	1
OG_615	2	1
OG_616	2	1
OG_617	5	1
OG_618	2	1
OG_619	2	1
OG_620	10	1
OG_621	2	1
OG_622	2	1
OG_623	2	1
OG_624	2	1
OG_625	3	1
OG_626	2	1
OG_627	2	1
OG_628	3	1
OG_629	2	1
OG_630	2	1
OG_631	2	1
OG_632	5	1
OG_633	2	1
