CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
140	12807	19184	40.03	31991
141	14375	18598	43.60	32973
142	14740	18884	43.84	33624
143	15479	18986	44.91	34465
144	12390	18638	39.93	31028
145	15008	18619	44.63	33627
146	14592	19306	43.05	33898
147	15091	18790	44.54	33881
148	12459	18197	40.64	30656
149	13372	18257	42.28	31629
150	15702	19679	44.38	35381
151	13205	13487	49.47	26692

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	227984	113630	66.74	341614
2	142640	135821	51.22	278461
3	182541	123094	59.73	305635
4	129906	122681	51.43	252587
5	163608	115663	58.58	279271
6	128234	128905	49.87	257139
7	170944	128456	57.10	299400
8	133755	135771	49.63	269526
9	168490	131626	56.14	300116
10	125664	136874	47.87	262538
11	158848	129885	55.02	288733
12	121988	135384	47.40	257372
13	172282	131480	56.72	303762
14	139208	137002	50.40	276210
15	166600	131327	55.92	297927
16	127616	135428	48.52	263044
17	161091	130108	55.32	291199
18	126436	136033	48.17	262469
19	175291	130515	57.32	305806
20	138203	136313	50.34	274516
21	174590	129503	57.41	304093
22	129355	136276	48.70	265631
23	164671	128151	56.24	292822
24	126275	134505	48.42	260780
25	175096	130119	57.37	305215
26	138976	135737	50.59	274713
27	170050	130744	56.53	300794
28	132280	133649	49.74	265929
29	168288	127980	56.80	296268
30	131029	133330	49.56	264359
31	178009	130144	57.77	308153
32	142160	135376	51.22	277536
33	175663	129171	57.63	304834
34	134603	137240	49.51	271843
35	167743	128910	56.55	296653
36	132056	133273	49.77	265329
37	179892	129531	58.14	309423
38	143826	134197	51.73	278023
39	176113	129289	57.67	305402
40	137231	133313	50.72	270544
41	171569	127185	57.43	298754
42	132889	133578	49.87	266467
43	179615	127835	58.42	307450
44	145932	132339	52.44	278271
45	177083	125599	58.50	302682
46	137367	131238	51.14	268605
47	167629	126904	56.91	294533
48	132829	129730	50.59	262559
49	179587	125431	58.88	305018
50	143380	129470	52.55	272850
51	172210	123301	58.28	295511
52	136238	127067	51.74	263305
53	163190	121921	57.24	285111
54	122927	127672	49.05	250599
55	169304	120536	58.41	289840
