gene_id,LCM_15,LCM_16,LCM_20,LCM_21,LCM_26,LCM_27,LCM_4,LCM_5,LCM_8,LCM_9
Pocillopora_acuta_HIv2___RNAseq.g27629.t1,460,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27631.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27633.t1,3,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27634.t1,142,0,145,0,65,0,0,54,0,0
Pocillopora_acuta_HIv2___TS.g10393.t1,2647,2030,2374,956,4133,2695,3506,4429,2617,0
Pocillopora_acuta_HIv2___TS.g10394.t2,296,0,49,0,134,1936,0,1378,0,579
Pocillopora_acuta_HIv2___RNAseq.g27639.t1,26,84,17,43,17,54,34,49,0,60
Pocillopora_acuta_HIv2___RNAseq.g27648.t1,61,0,206,0,0,0,0,97,0,3
Pocillopora_acuta_HIv2___TS.g10411.t1,74,54,28,10,343,57,0,158,7,34
Pocillopora_acuta_HIv2___RNAseq.g27652.t1,16,31,6,22,16,24,14,20,1,38
Pocillopora_acuta_HIv2___RNAseq.g27654.t1,220,0,228,0,124,246,19,202,1,0
Pocillopora_acuta_HIv2___RNAseq.g27659.t1,38,48,55,62,84,60,65,66,96,43
Pocillopora_acuta_HIv2___TS.g10419.t1a,5,0,2,0,3,0,0,0,58,0
Pocillopora_acuta_HIv2___RNAseq.g27666.t1,150,80,348,0,473,307,244,85,0,0
Pocillopora_acuta_HIv2___RNAseq.g27667.t1,73,187,248,0,348,0,732,107,0,0
Pocillopora_acuta_HIv2___TS.g10425.t1,1287,688,1261,256,1387,1631,953,2937,2410,1219
Pocillopora_acuta_HIv2___RNAseq.g27668.t1,0,0,229,340,1383,77,0,2487,0,1837
Pocillopora_acuta_HIv2___RNAseq.g27669.t1,290,0,1215,0,1918,582,0,1046,550,723
Pocillopora_acuta_HIv2___TS.g10429.t2,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27670.t1,258,1184,885,1738,1306,274,267,272,985,266
Pocillopora_acuta_HIv2___RNAseq.g27673.t1,5910,0,12724,79,9366,158,1708,4797,12703,208
Pocillopora_acuta_HIv2___RNAseq.g27676.t1,21,764,280,0,449,1241,0,31,0,24
Pocillopora_acuta_HIv2___RNAseq.g27677.t1,0,60,0,82,180,0,157,29,91,0
Pocillopora_acuta_HIv2___RNAseq.g27678.t1,0,722,501,288,53,0,553,61,0,0
Pocillopora_acuta_HIv2___RNAseq.g27679.t1,1067,8048,423,7565,2191,4360,8892,5703,1010,0
Pocillopora_acuta_HIv2___RNAseq.g27681.t1a,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27681.t1b,1686,0,348,0,1628,0,0,1324,3237,0
Pocillopora_acuta_HIv2___RNAseq.g27682.t1,4970,2481,4094,3714,5731,3692,3280,9582,3132,3691
Pocillopora_acuta_HIv2___TS.g10440.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10442.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27685.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10441.t1,3218,3357,1625,3106,1729,4467,5808,2182,1745,0
Pocillopora_acuta_HIv2___TS.g10443.t1,79,0,18,223,51,141,131,243,127,0
Pocillopora_acuta_HIv2___RNAseq.g27690.t1,987,2187,285,0,1081,548,157,1729,957,0
Pocillopora_acuta_HIv2___RNAseq.g27691.t1,71,105,494,121,259,1537,889,1405,0,38
Pocillopora_acuta_HIv2___TS.g10450.t1,8129,12646,11430,9359,16426,17076,20536,12730,5139,13170
Pocillopora_acuta_HIv2___RNAseq.g27694.t1,56,128,1052,0,147,954,2379,1281,5,115
Pocillopora_acuta_HIv2___RNAseq.g27697.t1,133,422,191,0,0,460,838,50,0,107
