"","LCM_1","LCM_11","LCM_12","LCM_17","LCM_18","LCM_24","LCM_25","LCM_3","LCM_32","LCM_33"
"Pocillopora_acuta_HIv2___RNAseq.g27490.t1",NA,NA,NA,NA,NA,0,NA,NA,NA,100
"Pocillopora_acuta_HIv2___RNAseq.g27491.t1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10252.t2",NA,2.5,NA,NA,12,4.311111111,0.875,NA,1.066666667,NA
"Pocillopora_acuta_HIv2___RNAseq.g27493.t1",5.5625,5,0,51.66666667,2,5,11.6,0,43.25,NA
"Pocillopora_acuta_HIv2___RNAseq.g27494.t1",NA,0,22,NA,NA,1.428571429,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10254.t1",1.511627907,0,0,1.818181818,12.11111111,4.46961326,3.80952381,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27495.t1",NA,NA,NA,NA,NA,4.303030303,0,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27497.t1",0,NA,9.428571429,0,19.64705882,2.4,9.259259259,0,20.58823529,0
"Pocillopora_acuta_HIv2___RNAseq.g27498.t1",NA,NA,33.33333333,75,50,22.28571429,24.57142857,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27499.t1",1.6,NA,NA,NA,NA,24.33333333,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27500.t1",33.71428571,37.28571429,32,33.85714286,51.38461538,19.25,38,32.2,39.14285714,48.28571429
"Pocillopora_acuta_HIv2___RNAseq.g27501.t1",NA,13.33333333,100,0,NA,26.8,80,NA,80,NA
"Pocillopora_acuta_HIv2___TS.g10260.t1",5,NA,NA,NA,0,5.151515152,0,0,3.2,NA
"Pocillopora_acuta_HIv2___RNAseq.g27502.t1",0,4.5,16,15,9.571428571,32.6097561,9.259259259,0,26.5,10
"Pocillopora_acuta_HIv2___RNAseq.g27503.t1",NA,NA,NA,100,37.66666667,69.03225806,80,0,37.64705882,NA
"Pocillopora_acuta_HIv2___RNAseq.g27504.t1",NA,NA,NA,NA,NA,20.54545455,3.47826087,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27505.t1",0,NA,3.2,NA,8.571428571,9.567901235,7.68,0,0,NA
"Pocillopora_acuta_HIv2___TS.g10265.t1",NA,NA,NA,NA,NA,0.3666666667,0,NA,NA,0
"Pocillopora_acuta_HIv2___RNAseq.g27507.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
